TraesCS1A02G013800	R-TAE-1119349	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-1119349	S-methylmethionine cycle	none	Triticum aestivum
TraesCS1A02G013800	R-TAE-2744343	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744343	Amino acid metabolism	none	Triticum aestivum
TraesCS1A02G013800	R-TAE-2744345	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744345	Metabolism and regulation	none	Triticum aestivum
TraesCS1A02G016900	R-TAE-1119260	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-1119260	Cardiolipin biosynthesis	none	Triticum aestivum
TraesCS1A02G016900	R-TAE-1119402	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-1119402	Phospholipid biosynthesis I	none	Triticum aestivum
TraesCS1A02G016900	R-TAE-2744345	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744345	Metabolism and regulation	none	Triticum aestivum
TraesCS1A02G016900	R-TAE-3906998	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-3906998	Fatty acid and lipid metabolism	none	Triticum aestivum
TraesCS1A02G019900	R-TAE-1119316	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-1119316	Phenylpropanoid biosynthesis	none	Triticum aestivum
TraesCS1A02G019900	R-TAE-2744344	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744344	Secondary metabolism	none	Triticum aestivum
TraesCS1A02G019900	R-TAE-2744345	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744345	Metabolism and regulation	none	Triticum aestivum
TraesCS1A02G026500	R-TAE-1119438	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-1119438	Secologanin and strictosidine biosynthesis	none	Triticum aestivum
TraesCS1A02G026500	R-TAE-2744344	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744344	Secondary metabolism	none	Triticum aestivum
TraesCS1A02G026500	R-TAE-2744345	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-2744345	Metabolism and regulation	none	Triticum aestivum
TraesCS1A02G031200	R-TAE-9611432	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-9611432	Recognition of fungal and bacterial pathogens and immunity response	none	Triticum aestivum
TraesCS1A02G031200	R-TAE-9612650	https://plantreactome.gramene.org/PathwayBrowser/#/R-TAE-9612650	Responses to stimuli: biotic stimuli and stresses	none	Triticum aestivum
